,popularity,vote_average,vote_count,production_budget,worldwide_gross,profit,genre,genre_1,genre_2
229,11.890999999999998,6.8,905,2000000,475846,-1524154,adventure,drama,horror
232,1.375,4.3,9,5000000,0,-5000000,action,drama,thriller
233,0.6,5.5,2,500000,1822,-498178,action,biography,documentary
236,5.972,6.4,18,1660000,80745,-1579255,horror,mystery,thriller
238,0.6,2.5,2,6000000,51411620,45411620,action,crime,drama
242,12.835999999999999,7.2,4313,40000000,162498338,122498338,drama,history,thriller
243,15.677,6.2,3181,90000000,0,-90000000,action,crime,fantasy
244,4.749,6.0,57,11000000,229653,-10770347,crime,drama,thriller
245,13.645999999999999,5.9,814,35000000,34480045,-519955,crime,drama,thriller
246,5.481,5.4,17,15000000,3471,-14996529,action,crime,drama
247,0.9159999999999999,6.0,1,11000000,62076141,51076141,drama,music,musical
248,1.636,6.7,15,12000000,450594,-11549406,comedy,drama,thriller
250,0.84,2.0,1,13000000,17856688,4856688,action,drama,war
252,17.574,5.4,681,55000000,22597969,-32402031,action,crime,thriller
254,43.078,6.5,2425,102000000,465195589,363195589,action,adventure,sci-fi
256,8.676,7.1,1195,55000000,90552675,35552675,drama,music,musical
265,17.604,6.9,450,10000000,11752387,1752387,biography,comedy,crime
266,39.137,7.4,14000,250000000,1140069413,890069413,action,adventure,sci-fi
267,25.808000000000003,6.9,12810,140000000,370569776,230569776,action,adventure,sci-fi
268,18.073,7.7,11034,170000000,714401889,544401889,action,adventure,sci-fi
269,15.482999999999999,7.6,3909,55000000,220648184,165648184,biography,drama,thriller
270,18.31,6.0,587,38000000,126577874,88577874,action,animation,comedy
272,0.6,5.5,4,4200000,313230,-3886770,drama,horror,sci-fi
276,23.498,5.9,4058,200000000,560155383,360155383,adventure,animation,comedy
277,18.427,6.7,2596,175000000,383541369,208541369,adventure,animation,comedy
279,9.432,6.1,149,12500000,2272186,-10227814,biography,comedy,crime
280,10.544,4.9,273,85000000,113026383,28026383,action,comedy,family
282,14.478,6.3,3133,50000000,217194805,167194805,action,comedy,crime
