,popularity,vote_average,vote_count,production_budget,worldwide_gross,profit,genre
1307,20.846999999999998,6.4,7220,200000000,708996336,508996336,action
1308,9.042,5.8,690,20000000,67950723,47950723,crime
1309,17.998,6.0,1851,73000000,352327887,279327887,action
1310,7.7139999999999995,4.3,221,17000000,10637281,-6362719,drama
1311,8.695,6.5,752,4000000,1989035,-2010965,drama
1312,10.155,7.4,1787,16000000,128256712,112256712,thriller
1313,50.288999999999994,7.6,19673,225000000,1517935897,1292935897,action
1314,10.73,6.4,782,4900000,6924321,2024321,thriller
1315,11.502,6.4,3528,2000000,7482387,5482387,drama
1316,15.49,6.0,806,35000000,75281179,40281179,comedy
1317,7.357,6.3,464,21000000,5046038,-15953962,drama
1318,10.133,6.1,757,5000000,11792942,6792942,horror
1319,8.665,6.9,756,10000000,134639780,124639780,comedy
1320,8.581,6.6,145,17000000,72835710,55835710,comedy
1321,8.622,7.3,1512,26000000,41059418,15059418,drama
1322,9.647,7.8,243,2100000,23600000,21500000,comedy
1323,20.08,6.2,1916,140000000,199646680,59646680,adventure
1324,14.327,7.3,4657,28000000,133162752,105162752,biography
1325,12.322000000000001,7.4,1302,5000000,53972860,48972860,comedy
1326,11.231,5.8,678,32500000,48425971,15925971,comedy
1327,7.077000000000001,5.8,393,41000000,7684524,-33315476,comedy
1328,8.152000000000001,6.5,328,110000,11000000,10890000,biography
1329,2.075,2.9,14,20000000,35841901,15841901,comedy
1330,18.985,6.7,3495,80000000,158750817,78750817,action
1331,11.392000000000001,7.4,1228,50000000,97651543,47651543,thriller
1332,9.033999999999999,7.5,2788,19000000,76086711,57086711,drama
1333,11.442,5.8,822,29000000,78652207,49652207,comedy
1334,7.445,6.4,4314,125000000,510878762,385878762,adventure
1335,2.494,6.1,31,3000000,421404,-2578596,comedy
1336,9.861,5.7,1627,45000000,135808837,90808837,action
1337,18.05,6.1,3630,125000000,280355920,155355920,action
1338,0.6,8.0,1,25000000,34356760,9356760,drama
1339,11.219000000000001,6.7,1016,60000000,111946251,51946251,adventure
1340,11.703,5.8,2223,10000000,68220952,58220952,horror
1341,0.6,5.7,6,4000000,53401938,49401938,horror
1342,6.495,6.0,240,900000,413733,-486267,comedy
1343,8.328,5.8,186,3500000,615816,-2884184,comedy
1344,9.847000000000001,5.1,678,7400000,31187727,23787727,drama
1345,15.335999999999999,6.5,4185,30000000,70689968,40689968,horror
1346,11.315,6.7,1779,12800000,69821476,57021476,thriller
1347,6.605,5.7,110,160000,32092,-127908,documentary
1348,10.265999999999998,5.7,982,95000000,104907746,9907746,comedy
1349,6.937,4.3,134,250000,62375,-187625,drama
1350,12.122,6.0,1406,52000000,75997067,23997067,comedy
1351,1.4,6.1,11,250000,0,-250000,drama
1352,1.4,6.0,15,7000000,1933829,-5066171,drama
1353,17.382,6.3,3196,155000000,418186950,263186950,adventure
1354,2.398,5.5,48,18000000,40651864,22651864,adventure
1355,8.974,5.1,463,20000000,25361206,5361206,action
1356,0.84,7.0,1,10000000,8890094,-1109906,action
1357,1.4,0.5,2,3000000,10473836,7473836,action
1358,7.433,5.6,68,15000000,1658706,-13341294,comedy
1359,20.063,6.2,2394,40000000,101985431,61985431,action
1360,18.886,7.5,5912,20000000,318000141,298000141,horror
1361,6.492999999999999,6.5,226,25000000,15907411,-9092589,comedy
1362,1.666,4.3,14,5000000,1504960,-3495040,mystery
1363,10.55,5.1,1072,25000000,71009334,46009334,crime
1364,2.733,4.4,14,20000000,38164784,18164784,horror
1365,12.245999999999999,6.2,1036,19000000,56445534,37445534,horror
1366,8.826,6.2,134,23000000,13019253,-9980747,documentary
1367,16.29,6.8,3873,135000000,573068425,438068425,action
1368,3.674,4.7,42,2000000,0,-2000000,drama
1369,0.6,6.0,2,3000000,772366,-2227634,comedy
1370,26.22,7.7,13933,275000000,1084439099,809439099,action
1371,15.517000000000001,5.6,2842,60000000,113461527,53461527,action
1372,10.73,4.9,735,34800000,62831715,28031715,documentary
1373,23.967,6.8,1158,34000000,38361428,4361428,action
1374,8.357000000000001,4.8,347,4000000,10898293,6898293,horror
1375,3.127,3.1,9,1100000,0,-1100000,action
1376,12.697000000000001,6.6,403,20000000,46604054,26604054,drama
1377,10.444,6.8,1522,20000000,175507800,155507800,drama
1378,7.403,4.7,441,1000000,101759490,100759490,horror
1379,7.505,6.7,291,19100000,5965646,-13134354,biography
1380,9.382,6.7,460,2000000,2279959,279959,comedy
1381,12.592,6.0,3042,65000000,180148897,115148897,comedy
1382,9.517999999999999,5.3,448,70000000,70546865,546865,comedy
1383,2.971,6.1,57,55000,0,-55000,crime
1384,6.324,4.4,272,15000000,3503761,-11496239,drama
1385,13.27,7.2,1895,10000000,28717667,18717667,biography
1386,1.5519999999999998,2.0,1,3000000,156362,-2843638,drama
1387,1.61,5.9,11,2000000,0,-2000000,drama
1388,14.795,6.7,1215,12600000,19054534,6454534,crime
1389,9.054,6.8,2987,8500000,43528634,35028634,comedy
1390,8.443,6.1,694,25000000,38993548,13993548,action
1391,8.044,6.6,438,6500000,3027956,-3472044,adventure
1392,11.546,7.2,2224,9000000,19096003,10096003,comedy
1393,14.88,5.4,1447,50000000,216562312,166562312,adventure
1394,28.941999999999997,7.2,4989,55000000,192903624,137903624,action
1395,22.961,6.4,2089,77000000,190453132,113453132,action
1396,21.517,6.1,4647,82000000,268268174,186268174,action
1397,17.215999999999998,6.2,4219,100000000,311979256,211979256,action
1398,18.797,6.1,2876,100000000,209461378,109461378,action
1399,5.056,5.9,46,7000000,492108,-6507892,comedy
1400,6.495,5.0,94,26000000,0,-26000000,crime
1401,5.519,6.1,68,4000000,1158877,-2841123,drama
1402,1.141,6.3,3,30000000,51078541,21078541,comedy
1403,28.668000000000003,6.9,6335,250000000,1234846267,984846267,action
1404,16.03,7.6,7236,12000000,307166834,295166834,drama
1405,28.651,7.7,2096,15000000,94113929,79113929,biography
1406,6.611000000000001,5.9,549,26000000,6154172,-19845828,biography
1407,10.395,7.3,2325,11000000,129262388,118262388,biography
1408,8.362,6.5,619,4500000,0,-4500000,comedy
1409,12.673,6.4,943,70000000,49252761,-20747239,action
1410,28.44,5.8,1846,13000000,136617305,123617305,action
1411,11.25,7.0,1426,2000000,17061,-1982939,comedy
1412,4.938,6.6,66,170000,169242,-758,drama
1413,10.729000000000001,5.8,742,30000000,61623819,31623819,comedy
1414,11.597000000000001,7.4,1125,2000000,11295324,9295324,drama
1415,14.616,6.7,1086,35000000,140783360,105783360,comedy
1416,1.125,2.5,1,10000000,40749230,30749230,documentary
1417,12.349,7.0,2093,15000000,24403192,9403192,comedy
1418,2.0069999999999997,5.4,16,60000,0,-60000,comedy
1419,1.9280000000000002,4.2,20,250000,0,-250000,drama
1420,10.34,6.3,762,19200000,5617460,-13582540,crime
1421,2.336,5.8,11,1000000,1239174,239174,drama
1422,9.166,4.8,591,100000,41656474,41556474,horror
1423,8.807,5.8,783,3000000,101773,-2898227,crime
1424,4.534,7.2,51,1500000,2592308,1092308,documentary
1425,2.971,6.5,9,2000000,2436,-1997564,comedy
1426,7.829,6.8,1135,45000000,65532491,20532491,drama
1427,5.945,6.3,70,900000,7396,-892604,comedy
1428,1.304,6.6,7,10000000,44567606,34567606,animation
1429,1.595,5.9,25,45000000,174278214,129278214,crime
1430,13.714,6.4,982,5250000,4801837,-448163,drama
1431,17.823,7.3,3971,90000000,239373970,149373970,crime
1432,8.687000000000001,6.5,3075,25000000,66540205,41540205,drama
1433,17.675,6.7,3135,187500000,333771037,146271037,adventure
1434,0.6,5.4,5,11000000,4234355,-6765645,drama
1435,2.142,6.5,18,200000,2430735,2230735,drama
1436,18.31,8.0,8091,31000000,163981261,132981261,adventure
1437,15.397,7.4,7120,7000000,26533200,19533200,drama
1438,19.144000000000002,5.8,2775,150000000,334486852,184486852,documentary
1439,22.009,8.0,5197,84000000,386665550,302665550,biography
1440,14.501,5.5,1897,110000000,229155503,119155503,action
1441,13.67,5.2,619,1000000,12931420,11931420,adventure
1442,12.942,6.5,2280,25000000,81249176,56249176,action
1443,10.177,6.9,563,6000000,21197454,15197454,comedy
1444,0.84,5.3,2,70000000,94973540,24973540,action
1445,8.939,5.4,403,40000000,41294674,1294674,comedy
1446,10.388,5.7,583,40000000,18594227,-21405773,action
1447,1.9609999999999999,6.5,16,850000,442638,-407362,biography
1448,32.266,6.4,6231,80000000,586464305,506464305,comedy
1449,19.135,8.2,636,23000000,35067665,12067665,crime
1450,20.680999999999997,7.7,8065,62000000,147864886,85864886,crime
1451,16.912,6.6,2441,43000000,229727774,186727774,action
1452,12.597999999999999,8.1,3944,25000000,213120004,188120004,drama
1453,6.2410000000000005,5.4,116,6000000,0,-6000000,action
1454,26.939,7.2,12076,250000000,1017003568,767003568,adventure
1455,53.783,7.3,8392,250000000,945577621,695577621,adventure
1456,21.275,7.6,7739,250000000,960366855,710366855,adventure
1457,8.232000000000001,6.5,389,16000000,8217571,-7782429,drama
1458,11.458,6.2,2788,50000000,64477051,14477051,action
1459,9.62,5.7,474,40000000,31192425,-8807575,comedy
1460,21.805,6.2,933,40000000,126331750,86331750,comedy
1461,8.26,7.3,785,22000000,94270488,72270488,comedy
1462,14.212,7.1,14587,80000000,677923379,597923379,action
1463,20.187,7.4,11170,130000000,864868047,734868047,action
1464,33.836999999999996,6.8,10087,125000000,766575131,641575131,action
1465,19.487000000000002,6.8,7609,160000000,648986787,488986787,action
1466,2.897,5.2,10,55000000,47213095,-7786905,action
1467,13.335,5.4,476,40000000,30963684,-9036316,action
1468,11.248,6.5,562,10000000,3623609,-6376391,biography
1469,10.127,6.7,1405,23000000,77735925,54735925,drama
1470,8.404,7.4,280,16500000,83792062,67292062,documentary
1471,1.3130000000000002,6.3,4,50000,0,-50000,biography
1472,33.078,8.1,10396,15000000,227740463,212740463,biography
1473,8.145,6.2,438,16000000,7585011,-8414989,drama
1474,14.66,7.2,3614,40000000,169590606,129590606,drama
1475,9.362,5.4,920,32000000,27392609,-4607391,adventure
1476,9.588,6.6,943,47500000,20718104,-26781896,biography
1477,8.494,5.5,324,750000,1011535,261535,drama
1478,14.377,7.1,3373,40000000,197115710,157115710,comedy
1479,0.6,6.2,2631,58000000,93672764,35672764,comedy
1480,15.501,6.2,3579,44000000,12342632,-31657368,documentary
1481,10.424000000000001,6.5,1063,1000000,354836,-645164,documentary
1482,8.987,6.4,899,14000000,115592104,101592104,biography
1483,6.4239999999999995,6.2,312,10000000,3541565,-6458435,comedy
1484,1.893,6.7,20,500000,19800,-480200,documentary
1485,16.464000000000002,7.3,2356,50000000,76119388,26119388,crime
1486,20.129,6.8,5257,27000000,44342956,17342956,animation
1487,12.255999999999998,6.3,3140,40000000,351774938,311774938,action
1488,2.403,6.9,12,65000000,69688384,4688384,drama
1489,8.426,6.6,854,4000000,36275469,32275469,comedy
1490,7.087000000000001,5.9,304,13000000,3617277,-9382723,crime
1491,9.269,6.3,393,6000000,42320503,36320503,biography
